package,count
sjmisc,34829
jsonify,34618
shinyBS,34517
Deriv,34453
partykit,34445
websocket,34437
qap,34252
servr,34188
Seurat,34085
RANN,34073
timetk,33997
flexmix,33893
tfruns,33284
slackr,33247
spdep,33247
gmailr,33230
rhub,33214
AzureStor,33148
foghorn,32742
gridGraphics,32725
geojsonsf,32675
corpus,32645
padr,32629
ggcorrplot,32284
tsibble,32040
Signac,31950
pscl,31908
pryr,31813
survminer,31811
vdiffr,31810
ggbeeswarm,31609
pls,31553
RODBC,31487
agricolae,31158
multicool,31076
ISLR,31039
fastDummies,30985
gtsummary,30563
RgoogleMaps,30472
RSpectra,30440
posterior,30127
gbm,29942
tfautograph,29766
tsfeatures,29713
mathjaxr,29636
h2o,29618
RJDBC,29555
tensor,29375
aplot,29259
ggfun,29060
proto,29037
tensorA,28982
polspline,28933
influenceR,28891
mlflow,28821
sjstats,28635
fable,28522
IRdisplay,28410
metafor,28281
dichromat,28169
hash,28121
jtools,28067
spData,28024
ggplotify,27990
party,27901
rjags,27541
pdftools,27407
scattermore,27352
vars,27333
Rmpi,27268
seqinr,27148
syuzhet,27057
feasts,27017
circlize,26893
leafem,26856
DiagrammeR,26821
ggfittext,26740
pwr,26739
sfsmisc,26714
Lahman,26554
inum,26520
GPArotation,26479
rngtools,26207
sitmo,26201
TeachingDemos,26133
chk,26102
googleAuthR,25912
uwot,25658
shinycssloaders,25624
ncdf4,25596
gsl,25522
RcppAnnoy,25487
shapefiles,25470
qreport,25459
aws.signature,25421
minpack.lm,25334
bigmemory,25230
doMPI,25143
network,25135
quanteda,25135
getPass,25120
pkgmaker,24976
correlation,24908
sem,24874
gstat,24816
optparse,24750
Rborist,24628
doRNG,24560
formattable,24535
Rcmdr,24527
CausalImpact,24449
tree,24421
AlgDesign,24365
restfulr,24347
fpc,24333
IRkernel,24232
dqrng,24194
readstata13,24071
tidytree,24061
broom.helpers,23948
Metrics,23797
mi,23721
spatstat,23588
beeswarm,23529
pbdZMQ,23466
RUnit,23432
texreg,23175
archdata,23161
exactRankTests,23149
SmartEDA,23130
shinystan,23123
statnet.common,23116
brms,23067
summarytools,22969
tmap,22913
GlobalOptions,22891
ISOcodes,22815
neuralnet,22596
gsubfn,22592
cubature,22572
nleqslv,22495
gam,22438
SeuratObject,22198
doSNOW,22116
EnvStats,21961
sctransform,21745
networkD3,21637
extraDistr,21589
mailR,21559
agricolaeplotr,21534
diptest,21529
ash,21436
naniar,21140
OpenMx,21102
ggnewscale,21082
WGCNA,21041
gganimate,21000
logger,20984
Rsolnp,20983
spatstat.linnet,20953
leiden,20838
spacetime,20787
qqconf,20706
hypergeo,20681
elliptic,20677
sna,20642
feather,20622
reconstructr,20622
norm,20588
qgraph,20574
fdrtool,20442
contfrac,20352
vipor,20336
magic,20287
dbplot,20282
fastICA,20230
BayesFactor,20189
stopwords,20171
survMisc,20149
ggstance,20096
tidyquant,20084
pipeR,20081
redcapAPI,20076
KMsurv,20069
spatstat.model,20027
dbscan,20011
km.ci,19903
maxstat,19902
glmmTMB,19835
UpSetR,19825
countrycode,19763
qdapRegex,19652
msm,19593
admisc,19552
asciicast,19520
intervals,19492
threejs,19472
afex,19456
modeest,19411
learnr,19371
MuMIn,19333
synchronicity,19294
RcppGSL,19228
RcmdrMisc,19139
fpp3,19046
vembedr,19007
pastecs,18998
r2d3,18939
phangorn,18932
lpSolveAPI,18912
BBmisc,18721
RhpcBLASctl,18687
relimp,18631
tmaptools,18601
sn,18502
tigris,18436
CompQuadForm,18362
Rmisc,18357
rugarch,18301
rtweet,18289
mapview,18242
paletteer,18225
proj4,18075
wordcloud2,18024
sparklyr.nested,18009
sftime,17923
ff,17917
BSDA,17895
rnaturalearth,17832
metadat,17790
mosaic,17756
gridBase,17664
prabclus,17654
fda,17630
ica,17460
ggformula,17434
rrcov,17382
ggalluvial,17337
conquer,17336
geometry,17304
Rfast,17278
forge,17267
MLmetrics,16996
tcltk2,16978
tinytest,16938
leafsync,16870
waiter,16785
ROSE,16774
prismatic,16708
earth,16694
VIM,16669
prophet,16651
tidycensus,16603
flexdashboard,16572
PostcodesioR,16565
Quandl,16561
Brobdingnag,16526
mockr,16524
olsrr,16510
bbmle,16506
ggpp,16478
mapdata,16468
bsts,16463
AsioHeaders,16427
bench,16404
smooth,16373
ucminf,16353
broom.mixed,16281
meta,16269
rstanarm,16256
NbClust,16187
rmgarch,16134
Bessel,15953
fds,15935
rcompanion,15924
optimx,15860
wesanderson,15853
rainbow,15818
alphavantager,15767
hwriter,15757
polycor,15742
cronR,15718
fmsb,15671
glasso,15648
fpp2,15634
MCMCpack,15608
fGarch,15583
widgetframe,15581
bigrquery,15524
rsvg,15483
rpf,15459
ggdendro,15447
see,15420
bridgesampling,15405
Cubist,15309
lgr,15262
bizdays,15206
imputeTS,15185
topicmodels,15177
tables,15116
linprog,15113
textshape,15047
cmprsk,15018
corrr,15002
shadowtext,14995
drc,14989
mlr,14984
hdrcde,14939
sm,14858
Boom,14847
plotmo,14769
leafpop,14726
fresh,14629
memuse,14568
bibliometrix,14565
qqplotr,14549
nnls,14493
ggplot2movies,14452
maketools,14449
BoomSpikeSlab,14437
wooldridge,14421
rmutil,14387
confintr,14252
rattle,14241
languageserver,14235
satellite,14196
mosaicCore,14194
mlogit,14184
aplpack,14167
prediction,14166
RWeka,14139
stinepack,14125
VennDiagram,14113
ggstatsplot,14086
logging,14060
ppcor,14053
doBy,13981
ordinal,13941
tableone,13940
RcppZiggurat,13929
geepack,13910
carrier,13894
ggpmisc,13894
gson,13839
rsvd,13792
parallelMap,13713
salesforcer,13682
TSA,13671
tiff,13654
shinyAce,13637
Rglpk,13583
float,13562
modelsummary,13559
profmem,13549
HDInterval,13540
lmodel2,13516
AICcmodavg,13508
semPlot,13474
faraway,13453
lars,13448
mc2d,13445
rentrez,13406
aTSA,13343
XLConnect,13339
itertools,13309
googleAnalyticsR,13265
lfe,13237
imager,13233
timereg,13205
ggdist,13155
DistributionUtils,13092
ggiraph,13090
mosaicData,13060
fma,13035
margins,12953
evd,12946
shinybusy,12911
fst,12900
fixest,12879
dtt,12843
weights,12824
gggenes,12740
laeken,12727
signal,12721
listviewer,12704
hdf5r,12664
egg,12653
cobalt,12642
R.rsp,12610
rvg,12608
FSA,12543
descr,12522
mcmc,12511
swirl,12434
ggspatial,12427
cvar,12410
rapportools,12382
interactions,12370
dynlm,12302
seasonal,12293
greybox,12291
nanotime,12283
gbutils,12274
fasttime,12266
GeneralizedHyperbolic,12249
C50,12229
energy,12223
epiR,12212
HH,12204
data.tree,12175
fstcore,12166
latex2exp,12153
BiasedUrn,12148
riingo,12142
semTools,12138
aod,12114
ada,12086
shinydashboardPlus,12072
statip,12043
phytools,12033
dunn.test,12030
modelbased,12001
